date,contract,expiry,futures_price,volume,hold,price_source,spot,spot_duplicate,risk_free_rate,quality_flags,exclusion_reasons,sessions_to_expiry,tau,implied_carry,excluded,delta,n_contracts,predicted_state,predicted_variance,predicted_std,filtered_state,filtered_variance,filtered_std,maturity_loading,predicted_carry,fitted_carry,predicted_futures_price,fitted_futures_price,carry_residual,carry_prediction_error,futures_residual,futures_prediction_error,observation_noise_model,observation_noise_carry_sd,marginal_prediction_variance,standardized_marginal_prediction_error
2023-09-11,IM2310,2023-10-20,6155.4,12300,26762,close,6182.643,False,0.014,,,23.0,0.0942622950819672,0.060849109756764795,False,0.004098360655737705,3,0.013923644098661772,0.0002655124059436514,0.016294551418914588,0.011938175850750516,4.791736722107874e-05,0.006922237154351095,0.9093250902781121,0.02031657146581972,0.01851113537204349,6178.9628602777375,6180.014513775538,0.042337974384721304,0.040532538290945073,-24.6145137755384,-23.562860277737855,constant_log_futures,0.030832146945307972,0.0011701660911953573,1.1848954918157228
2023-09-11,IM2312,2023-12-15,6144.6,21013,78353,close,6182.643,False,0.014,,,63.0,0.2581967213114754,0.037905038720645746,False,0.004098360655737705,3,0.013923644098661772,0.0002655124059436514,0.016294551418914588,0.011938175850750516,4.791736722107874e-05,0.006922237154351095,0.7764854833563647,0.0296822709866382,0.028140583714470112,6157.659407323487,6160.1110045073465,0.009764455006175635,0.008222767734007548,-15.511004507346115,-13.059407323486994,constant_log_futures,0.011256180630826718,0.0002867869192124262,0.4855549140406936
2023-09-11,IM2403,2024-03-15,6124.6,6419,34874,close,6182.643,False,0.014,,,121.0,0.4959016393442623,0.03302071101130681,False,0.004098360655737705,3,0.013923644098661772,0.0002655124059436514,0.016294551418914588,0.011938175850750516,4.791736722107874e-05,0.006922237154351095,0.6277874997933619,0.040166046614061354,0.03891959446678604,6102.936596105965,6106.710095126449,-0.005898883455479231,-0.007145335602754543,17.88990487355113,21.663403894035582,constant_log_futures,0.005860656030926308,0.00013899028047802505,-0.6060806460598804
2023-09-12,IM2310,2023-10-20,6164.8,12521,31720,close,6184.606,False,0.014,,,22.0,0.09016393442622951,0.049575271198548286,False,0.004098360655737705,3,0.012544583311985658,0.00026619112857819083,0.016315364800646992,0.007760945356409133,4.8618610883226234e-05,0.006972704703572799,0.9130318410261417,0.018796104975334307,0.01442849120595173,6181.932133788461,6184.367065745773,0.03514677999259656,0.03077916622321398,-19.567065745773107,-17.132133788461033,constant_log_futures,0.03223360817009469,0.0012609096455992639,0.8667919465010681
2023-09-12,IM2312,2023-12-15,6155.0,16923,80336,close,6184.606,False,0.014,,,62.0,0.2540983606557377,0.03288458335778788,False,0.004098360655737705,3,0.012544583311985658,0.00026619112857819083,0.016315364800646992,0.007760945356409133,4.8618610883226234e-05,0.006972704703572799,0.7794685951048932,0.028397015643741468,0.02466832008701779,6162.022448585308,6167.863456814356,0.008216263270770088,0.00448756771404641,-12.863456814356141,-7.022448585307757,constant_log_futures,0.011437731931323924,0.0002925517993105541,0.2623672528881105
2023-09-12,IM2403,2024-03-15,6134.0,5327,36285,close,6184.606,False,0.014,,,120.0,0.4918032786885246,0.030706345755049727,False,0.004098360655737705,3,0.012544583311985658,0.00026619112857819083,0.016315364800646992,0.007760945356409133,4.8618610883226234e-05,0.006972704703572799,0.6299908075356578,0.03914190938651221,0.03612826144792033,6108.604969234823,6117.665379321971,-0.0054219156928706005,-0.00843556363146248,16.33462067802884,25.39503076517667,constant_log_futures,0.005909494831184027,0.00014057030495487154,-0.7114875619527995
2023-09-13,IM2310,2023-10-20,6082.0,24385,44823,close,6103.137,False,0.014,,,21.0,0.0860655737704918,0.05431010170093642,False,0.004098360655737705,3,0.008402297343335016,0.00026688068883873875,0.01633648336817746,0.011610065478763882,4.933547642021098e-05,0.007023921726515108,0.9167590840646723,0.01473070172379598,0.017671452301523588,6102.753196383023,6101.208800952377,0.03663864939941283,0.03957939997714044,-19.208800952376805,-20.75319638302335,constant_log_futures,0.03376854189248016,0.0013646135540740342,1.071431389653807
2023-09-13,IM2312,2023-12-15,6065.6,27435,88658,close,6103.137,False,0.014,,,61.0,0.25,0.03867774202750985,False,0.004098360655737705,3,0.008402297343335016,0.00026688068883873875,0.01633648336817746,0.011610065478763882,4.933547642021098e-05,0.007023921726515108,0.7824677072816677,0.02494022582071935,0.02745020079913956,6086.467382315498,6082.649360124152,0.011227541228370289,0.0137375162067905,-17.049360124151463,-20.867382315497707,constant_log_futures,0.011625235733476775,0.0002985453322734198,0.7950658046329353
2023-09-13,IM2403,2024-03-15,6044.6,7623,39712,close,6103.137,False,0.014,,,119.0,0.48770491803278687,0.033761108493711556,False,0.004098360655737705,3,0.008402297343335016,0.00026688068883873875,0.01633648336817746,0.011610065478763882,4.933547642021098e-05,0.007023921726515108,0.6322053844794169,0.036363943726211906,0.03839191201359154,6036.9317589263665,6030.963882672834,-0.004630803519879982,-0.00260283523250035,13.636117327166176,7.668241073633908,constant_log_futures,0.005959154451614146,0.0001421793691179859,-0.2182872579203359
2023-09-14,IM2310,2023-10-20,6058.8,32732,57046,close,6068.713,False,0.014,,,20.0,0.08196721311475409,0.03394450584132081,False,0.004098360655737705,3,0.012219217739774565,0.00026758561069849176,0.01635804421984767,0.009731984213074923,5.006834110297005e-05,0.007075898607454042,0.920506947721995,0.017959271514146932,0.01566975577221283,6066.743837371078,6067.882461053505,0.018274750069107983,0.01598523432717388,-9.08246105350463,-7.943837371078189,constant_log_futures,0.03545696898710417,0.0014839307789411393,0.41496568568567244
