date,n_contracts,front_carry,back_carry,inversion,hump_or_u_shape,material_slope_sign_changes,one_factor_shape_limitation
2023-07-10,4,0.04081344748262688,0.04897133916959806,False,False,0,False
2023-07-11,4,0.05282552878329507,0.04891499206966809,True,True,1,True
2023-07-12,4,0.009629008607919425,0.04300874594604942,False,False,0,False
2023-07-13,4,0.0060081924244822105,0.04282072771916317,False,False,0,False
2023-07-14,3,0.040072061478404565,0.04483838665413284,False,False,0,False
2023-07-17,3,0.04331020791941867,0.04442528260313459,False,True,1,True
2023-07-18,3,0.029711111957227733,0.0423267471577695,False,False,0,False
2023-07-19,3,0.02929816293316422,0.04122314333010638,False,False,0,False
2023-07-20,3,0.015015321366503895,0.036859101674747284,False,False,0,False
2023-07-21,3,0.003364399314340842,0.032013951270870436,False,False,0,False
2023-07-24,4,0.014389660070102405,0.03493136524802121,False,False,0,False
2023-07-25,4,0.015395622974450069,0.03410581367247599,False,False,0,False
2023-07-26,4,-0.010753551658673146,0.03058864362896998,False,False,0,False
2023-07-27,4,-0.017987035042410622,0.029140914446343397,False,False,0,False
2023-07-28,4,-0.006678156398367505,0.03257356763731434,False,False,0,False
2023-07-31,4,-0.009391441731154202,0.033121210193609196,False,False,0,False
2023-08-01,4,0.009420314198810675,0.03210127950051762,False,False,0,False
2023-08-02,4,0.014694898683253011,0.0321045011724466,False,False,0,False
2023-08-03,4,0.02746768741948253,0.034250194048616754,False,True,1,True
2023-08-04,4,0.016695777376164296,0.03170068903193945,False,False,0,False
2023-08-07,4,-0.03438094451412833,0.025391793289995905,False,False,0,False
2023-08-08,4,-0.049353440277024915,0.022588384143964073,False,False,0,False
2023-08-09,4,-0.05229113408938081,0.01763954599102197,False,False,0,False
2023-08-10,4,0.028011843504651857,0.020014515427477324,True,True,1,True
2023-08-11,3,0.005698150099927371,0.0193598124870458,False,False,0,False
2023-08-14,3,0.003077286158007392,0.02135640065842679,False,False,0,False
2023-08-15,3,-0.0003351931030246436,0.018272938568372248,False,False,0,False
2023-08-16,3,-0.010349789278279719,0.01581779609892647,False,False,0,False
2023-08-17,3,-0.0045808899676428785,0.019215299184171215,False,False,0,False
2023-08-18,3,-0.006511177718938872,0.014089386607686664,False,False,0,False
2023-08-21,4,0.02114901190995927,0.01903381942448254,True,True,1,True
2023-08-22,4,0.047813260555687756,0.023982906611688552,True,False,0,False
2023-08-23,4,0.011287607655162736,0.01743887356782963,False,True,1,True
2023-08-24,4,0.04042274331982453,0.023080835829702794,True,False,0,False
2023-08-25,4,0.00632920142391863,0.016777472735425965,False,True,1,True
2023-08-28,4,0.056907876816494285,0.028131693384185086,True,False,0,False
2023-08-29,4,0.04339313829448336,0.023536373071826648,True,False,0,False
2023-08-30,4,0.05187941698181249,0.024697950309765626,True,False,0,False
2023-08-31,4,-0.008899316949877148,0.01965910064904314,False,False,0,False
2023-09-01,4,0.030785966493875216,0.02320803840528622,True,True,1,True
2023-09-04,4,0.01733291333538206,0.022441364209581455,False,False,0,False
2023-09-05,4,0.04092346110810176,0.02575878676876838,True,False,0,False
2023-09-06,4,0.10742618353724316,0.02853133392566736,True,False,0,False
2023-09-07,4,0.056062203789147266,0.026656223957443798,True,False,0,False
2023-09-08,3,0.06458505569344926,0.03557871412309104,True,False,0,False
2023-09-11,3,0.060849109756764795,0.03302071101130681,True,False,0,False
2023-09-12,3,0.049575271198548286,0.030706345755049727,True,False,0,False
2023-09-13,3,0.05431010170093642,0.033761108493711556,True,False,0,False
2023-09-14,3,0.03394450584132081,0.03355229930086094,False,True,1,True
2023-09-15,3,0.03866191511303098,0.03484614651534801,True,False,0,False
2023-09-18,4,0.014822185598705998,0.031417149888634914,False,False,0,False
2023-09-19,4,-0.005401651093179428,0.02438315079023661,False,False,0,False
2023-09-20,4,0.0021717736400516195,0.021798444274232418,False,False,0,False
2023-09-21,4,0.00815129307729641,0.024372611935334285,False,False,0,False
2023-09-22,4,-0.014967269745906715,0.018656485043316337,False,False,0,False
2023-09-25,4,0.0015295089662339893,0.023061052448970526,False,False,0,False
2023-09-26,4,-0.023572424744340653,0.02070969338968085,False,False,0,False
2023-09-27,4,-0.04524939497460968,0.02085920933681823,False,False,0,False
