date,contract,expiry,sessions_to_expiry,tau,spot,futures_price,implied_carry,predicted_carry,fitted_carry,carry_prediction_error,carry_residual,predicted_futures_price,fitted_futures_price,futures_prediction_error,futures_residual
2025-07-30,IM2512,2025-12-19,96.0,0.39344262295081966,6718.482,6415.2,0.13140482335939763,0.11115154746660322,0.11416342702475824,0.02025327589279441,0.01724139633463939,6466.523749093398,6458.865445301868,-51.323749093397964,-43.6654453018682
2025-07-30,IM2603,2026-03-20,153.0,0.6270491803278688,6718.482,6249.8,0.1293223306761539,0.10486783244800556,0.10683116480523805,0.02445449822814834,0.022491165870915847,6346.37406421969,6338.5658127566385,-96.57406421968972,-88.7658127566383
2025-07-31,IM2508,2025-08-15,11.0,0.045081967213114756,6661.186,6612.2,0.17772664498582041,0.14906923404124095,0.17499235526187665,0.028657410944579464,0.002734289723943767,6620.748036369964,6613.015117350844,-8.548036369964393,-0.8151173508440479
2025-07-31,IM2509,2025-09-19,36.0,0.14754098360655737,6661.186,6538.0,0.14051561632606938,0.1323333745257677,0.15050471394406495,0.008182241800301665,-0.009989097617995574,6545.897544291518,6528.371384255698,-7.897544291517988,9.628615744301896
2025-07-31,IM2512,2025-12-19,95.0,0.38934426229508196,6661.186,6351.8,0.1361523316998883,0.1136728668962369,0.12320095836355455,0.0224794648036514,0.012951373336333755,6407.6365368712495,6383.9101142503505,-55.836536871249336,-32.11011425035031
2025-07-31,IM2603,2026-03-20,152.0,0.6229508196721312,6661.186,6183.4,0.13347855661729235,0.10647632615767855,0.11267109533668664,0.027002230459613807,0.02080746128060572,6288.291068631205,6264.071086592531,-104.8910686312056,-80.67108659253154
2025-08-01,IM2508,2025-08-15,10.0,0.040983606557377046,6670.472,6616.8,0.21112156456158068,0.17359752914380233,0.1992644948708101,0.03752403541777835,0.011857069690770577,6626.983608755244,6620.0161854284015,-10.183608755243768,-3.2161854284013316
2025-08-01,IM2509,2025-09-19,35.0,0.14344262295081966,6670.472,6542.8,0.14872574079963882,0.14940654530124908,0.16735992456129595,-0.0006808045016102604,-0.018634183761657125,6542.1610850120815,6525.33486505537,0.6389149879187244,17.465134944630336
2025-08-01,IM2512,2025-12-19,94.0,0.38524590163934425,6670.472,6359.0,0.13812718617581154,0.12250160029888366,0.13187601389902587,0.01562558587692789,0.006251172276785677,6397.394673407549,6374.33244330191,-38.39467340754891,-15.332443301909734
2025-08-01,IM2603,2026-03-20,151.0,0.6188524590163934,6670.472,6186.2,0.13578931526089486,0.11216599917042219,0.11824478190613603,0.023623316090472662,0.01754453335475882,6277.302513041269,6253.732480763088,-91.10251304126905,-67.53248076308773
2025-08-04,IM2508,2025-08-15,9.0,0.036885245901639344,6739.694,6711.8,0.12643931972262595,0.1974653895486227,0.14251451394090642,-0.07102606982599674,-0.016075194218280464,6694.239344922086,6707.821501760436,17.560655077913907,3.9784982395640327
2025-08-04,IM2509,2025-09-19,34.0,0.13934426229508196,6739.694,6642.6,0.11813826841350149,0.16594532108455476,0.12759083547249744,-0.04780705267105327,-0.009452567058995956,6598.496464192361,6633.856386087805,44.10353580763967,8.743613912195542
2025-08-04,IM2512,2025-12-19,93.0,0.38114754098360654,6739.694,6454.0,0.1276421595651818,0.1309772996100853,0.11103466873205077,-0.003335140044903512,0.016607490833131025,6445.801013823894,6494.9827739849015,8.198986176105791,-40.98277398490154
2025-08-04,IM2603,2026-03-20,150.0,0.6147540983606558,6739.694,6279.8,0.12896692848304311,0.1175967041670403,0.10469941269237873,0.01137022431600282,0.024267515790664385,6323.848892921146,6374.187854959581,-44.048892921146034,-94.38785495958109
2025-08-05,IM2508,2025-08-15,8.0,0.03278688524590164,6787.481,6754.4,0.16301511939874816,0.1416813952340421,0.16204393818955834,0.021333724164706053,0.0009711812091898198,6759.126128314097,6754.61507707535,-4.726128314096968,-0.21507707535056397
2025-08-05,IM2509,2025-09-19,33.0,0.13524590163934427,6787.481,6682.0,0.12980788673349997,0.1269366346202755,0.14111876143721763,0.002871252113224476,-0.011310874703717666,6684.595292066374,6671.786028591308,-2.595292066373986,10.213971408691577
2025-08-05,IM2512,2025-12-19,92.0,0.3770491803278688,6787.481,6490.8,0.1325365162992137,0.110620051396575,0.1179629166667415,0.021916464902638697,0.014573599632472206,6544.659508168168,6526.564884386303,-53.85950816816785,-35.76488438630258
2025-08-05,IM2603,2026-03-20,149.0,0.610655737704918,6787.481,6311.0,0.13319276098876723,0.104400888860812,0.10913692900093482,0.028791872127955226,0.024055831987832413,6422.940691837509,6404.391804198341,-111.9406918375089,-93.39180419834065
2025-08-06,IM2508,2025-08-15,7.0,0.028688524590163935,6861.309,6834.4,0.15097312992109746,0.16088749474926467,0.15431766243520573,-0.00991436482816721,-0.003344532514108267,6832.456378289086,6833.744272806864,1.9436217109132485,0.6557271931360447
2025-08-06,IM2509,2025-09-19,32.0,0.13114754098360656,6861.309,6762.6,0.12449241380031113,0.14021187766114276,0.13564594538827968,-0.01571946386083163,-0.011153531587968543,6748.672794152202,6752.715182430804,13.927205847798177,9.884817569196457
2025-08-06,IM2512,2025-12-19,91.0,0.3729508196721312,6861.309,6574.8,0.128369182908539,0.11738955264910554,0.11503558134634963,0.010979630259433451,0.013333601562189365,6601.7780974649795,6607.576445819155,-26.978097464979328,-32.776445819155015
2025-08-06,IM2603,2026-03-20,148.0,0.6065573770491803,6861.309,6398.0,0.12926164049639452,0.10872475255991672,0.10721058174203507,0.020536887936477802,0.02205105875435945,6478.197074496177,6484.149587690416,-80.19707449617727,-86.14958769041641
2025-08-07,IM2508,2025-08-15,6.0,0.02459016393442623,6862.15,6828.0,0.2168859504405115,0.15329610937830873,0.19904792855139852,0.06358984106220278,0.017838021889112987,6838.685190516797,6830.995690084382,-10.685190516796865,-2.9956900843817493
2025-08-07,IM2509,2025-09-19,31.0,0.12704918032786885,6862.15,6750.0,0.14370015852566026,0.13484591198865686,0.1665742622111251,0.008854246537003396,-0.02287410368546483,6757.597514678407,6730.412057562774,-7.5975146784066965,19.587942437226047
2025-08-07,IM2512,2025-12-19,90.0,0.36885245901639346,6862.15,6558.2,0.13682588212676147,0.1145310102415692,0.13081858290113751,0.022294871885192274,0.006007299225623958,6612.353840198805,6572.7478176935065,-54.15384019880548,-14.547817693506659
2025-08-07,IM2603,2026-03-20,147.0,0.6024590163934426,6862.15,6376.2,0.13591450885512923,0.10684842936765035,0.11729669136453352,0.029066079487478885,0.01861781749059571,6488.837742273427,6448.1210651286165,-112.63774227342674,-71.92106512861665
2025-08-08,IM2509,2025-09-19,30.0,0.12295081967213115,6838.13,6735.0,0.13759813965808323,0.16519866638089487,0.15432334520930488,-0.02760052672281163,-0.016725205551221645,6712.183463707334,6721.164526332422,22.81653629266566,13.835473667578299
2025-08-08,IM2512,2025-12-19,89.0,0.36475409836065575,6838.13,6542.0,0.13537320327864583,0.12995314970768929,0.1243943900624816,0.00542005357095654,0.01097881321616423,6554.946240396566,6568.250403742419,-12.946240396566282,-26.25040374241871
2025-08-08,IM2603,2026-03-20,146.0,0.5983606557377049,6838.13,6361.4,0.13477302014464176,0.11667651707855066,0.11312045283685943,0.018096503066091105,0.02165256730778234,6430.657025925421,6444.354803339046,-69.25702592542166,-82.95480333904652
2025-08-11,IM2509,2025-09-19,29.0,0.11885245901639344,6943.937,6851.2,0.12712416616610953,0.15318216878183533,0.1425917110370068,-0.0260580026157258,-0.01546754487089727,6830.0142620288025,6838.616627036391,21.18573797119734,12.583372963608781
2025-08-11,IM2512,2025-12-19,88.0,0.36065573770491804,6943.937,6663.8,0.12817817054270542,0.12367821879494251,0.11828848518074146,0.004499951747762909,0.009889685361963954,6674.623684389537,6687.610692129418,-10.823684389536538,-23.810692129417475
2025-08-11,IM2603,2026-03-20,145.0,0.5942622950819673,6943.937,6478.8,0.13067170756068225,0.11260805967293484,0.10916968659524799,0.018063647887747405,0.021502020965434257,6548.721585959666,6562.116239109888,-69.92158595966612,-83.31623910988765
2025-08-12,IM2509,2025-09-19,28.0,0.11475409836065574,6963.611,6883.6,0.11470569069309165,0.14167330910841053,0.13132102449120667,-0.026967618415318875,-0.016615333798115015,6862.330631038771,6870.487698174394,21.269368961229702,13.112301825606664
2025-08-12,IM2512,2025-12-19,87.0,0.35655737704918034,6963.611,6694.2,0.12466011906801049,0.11771356012491432,0.11246795664179353,0.006946558943096162,0.012192162426216957,6710.801058744287,6723.364408667216,-16.601058744287002,-29.164408667215866
2025-08-12,IM2603,2026-03-20,144.0,0.5901639344262295,6963.611,6512.0,0.12761509748785568,0.10875901105050872,0.10542194287190995,0.01885608643734696,0.02219315461594573,6584.871433507408,6597.852571575996,-72.87143350740826,-85.85257157599608
2025-08-13,IM2509,2025-09-19,27.0,0.11065573770491803,7064.334,7001.8,0.0943526821529855,0.13061494941423282,0.11166758473048041,-0.036262267261247316,-0.017314902577494906,6973.76067503868,6988.397441692198,28.039324961319835,13.402558307801883
2025-08-13,IM2512,2025-12-19,86.0,0.3524590163934426,7064.334,6822.0,0.11303579865208153,0.1120270601891458,0.1024682295408328,0.0010087384629357404,0.010567569111248731,6824.425918057729,6847.4568393573345,-2.4259180577291772,-25.456839357334502
2025-08-13,IM2603,2026-03-20,143.0,0.5860655737704918,7064.334,6646.0,0.11815826654340938,0.10510751553836038,0.09904366916055632,0.013050751005049002,0.019114597382853066,6697.027463652346,6720.869778036425,-51.02746365234634,-74.86977803642458
2025-08-14,IM2509,2025-09-19,26.0,0.10655737704918032,6976.488,6929.2,0.07782732058668415,0.1113261413161849,0.09532552212949791,-0.03349882072950075,-0.017498201542813757,6904.509990875371,6916.292111327718,24.690009124628887,12.907888672281842
2025-08-14,IM2512,2025-12-19,85.0,0.3483606557377049,6976.488,6755.0,0.10661283197426497,0.10225556031775832,0.09421882723197689,0.0043572716565066505,0.012394004742288078,6765.261213876017,6784.228329821945,-10.261213876016882,-29.228329821945408
2025-08-14,IM2603,2026-03-20,142.0,0.5819672131147541,6976.488,6581.8,0.11406985413869725,0.09889225053843233,0.09380847228644382,0.015177603600264919,0.02026138185225343,6640.193680597008,6659.868396614414,-58.393680597007915,-78.06839661441427
2025-08-15,IM2509,2025-09-19,25.0,0.10245901639344263,7117.501,7086.2,0.0570167115655282,0.09528481462941318,0.07424867936533568,-0.038268103063884985,-0.017231967799807478,7058.470030887009,7073.699852718957,27.729969112991057,12.5001472810427
2025-08-15,IM2512,2025-12-19,84.0,0.3442622950819672,7117.501,6922.6,0.09465146679892587,0.09419353696531452,0.0836742642579104,0.0004579298336113563,0.010977202541015474,6923.691419903044,6948.810254690969,-1.0914199030439704,-26.210254690968213
2025-08-15,IM2603,2026-03-20,141.0,0.5778688524590164,7117.501,6754.0,0.10471566754700325,0.09379049542583977,0.08715541517901075,0.010925172121163479,0.017560252367992496,6796.775024895553,6822.885285966817,-42.77502489555263,-68.88528596681681
2025-08-18,IM2509,2025-09-19,24.0,0.09836065573770492,7237.602,7184.4,0.08900892782331694,0.07459226328816239,0.09558471034558817,0.014416664535154555,-0.0065757825222712285,7194.594939917956,7179.754644896647,-10.194939917956617,4.645355103352813
2025-08-18,IM2510,2025-10-17,38.0,0.1557377049180328,7237.602,7138.0,0.10297852323801704,0.07779552972171312,0.09515505813777593,0.025182993516303917,0.007823465100241109,7166.049788096303,7146.702300269161,-28.04978809630302,-8.702300269161242
2025-08-18,IM2512,2025-12-19,83.0,0.3401639344262295,7237.602,7028.0,0.10039294988392032,0.08388717508972264,0.09433798939377099,0.01650577479419768,0.006054960490149336,7067.570880553156,7042.4903429051465,-39.5708805531558,-14.490342905146463
2025-08-18,IM2603,2026-03-20,140.0,0.5737704918032787,7237.602,6873.8,0.10388411557852711,0.08730650625016444,0.09387935655357463,0.016577609328362677,0.010004759024952486,6939.493755193663,6913.37207739419,-65.69375519366258,-39.572077394189364
2025-08-19,IM2509,2025-09-19,23.0,0.0942622950819672,7242.849,7177.4,0.1102997642338811,0.09553967383126925,0.11648363826104705,0.01476009040261185,-0.006183874027165942,7187.3930102717295,7173.21746846955,-9.993010271729872,4.182531530449523
2025-08-19,IM2510,2025-10-17,37.0,0.15163934426229508,7242.849,7126.6,0.12070301307004053,0.09511545024488005,0.1124145639281987,0.025587562825160476,0.008288449141841833,7154.305502063139,7135.56273404049,-27.705502063138738,-8.962734040489522
2025-08-19,IM2512,2025-12-19,82.0,0.3360655737704918,7242.849,7015.6,0.10885766727407191,0.09431015328668375,0.10469030415563822,0.014547513987388155,0.004167363118433687,7049.982676146344,7025.432282340457,-34.38267614634333,-9.832282340456914
2025-08-19,IM2603,2026-03-20,139.0,0.569672131147541,7242.849,6851.6,0.11148139781259855,0.09385963573615486,0.10036902297238727,0.017621762076443698,0.011112374840211284,6920.727044870489,6895.1110149013875,-69.12704487048904,-43.51101490138717
2025-08-20,IM2509,2025-09-19,22.0,0.09016393442622951,7305.461,7276.0,0.05881714381646177,0.11606145962634824,0.07895921029262153,-0.057244315809886474,-0.020142066476159758,7238.542600919774,7262.798135498115,37.45739908022642,13.201864501885211
2025-08-20,IM2510,2025-10-17,36.0,0.14754098360655737,7305.461,7228.2,0.08606206637297184,0.11204353603108141,0.08143421228361437,-0.025981469658109574,0.0046278540893574666,7200.54495195832,7233.137086871921,27.655048041679947,-4.937086871921565
2025-08-20,IM2512,2025-12-19,81.0,0.3319672131147541,7305.461,7119.6,0.0916299754420173,0.10443004163627054,0.08612405103708584,-0.012800066194253237,0.005505924404931459,7089.4115630999295,7132.625007753089,30.188436900070883,-13.025007753089085
2025-08-20,IM2603,2026-03-20,138.0,0.5655737704918032,7305.461,6965.6,0.09823021827624837,0.10018494655751746,0.08873898846004846,-0.001954728281269094,0.009491229816199903,6957.903484568911,7003.09181338182,7.69651543108921,-37.491813381820066
2025-08-21,IM2509,2025-09-19,21.0,0.0860655737704918,7253.343,7202.2,0.09621558079921695,0.07921337991264979,0.1026115109611409,0.017002200886567162,-0.0063959301619239545,7212.746723977435,7198.236500285948,-10.54672397743525,3.963499714051977
2025-08-21,IM2510,2025-10-17,35.0,0.14344262295081966,7253.343,7153.4,0.1107264652472396,0.08165742839823112,0.10093807848312847,0.02906903684900848,0.009788386764111132,7183.290083806941,7163.4509421998555,-29.89008380694122,-10.050942199855854
2025-08-21,IM2512,2025-12-19,80.0,0.32786885245901637,7253.343,7046.4,0.10228413469614792,0.08628033107164906,0.09777279124679608,0.016003803624498852,0.0045113434493518345,7083.4706814417395,7056.830246522529,-37.07068144173991,-10.43024652252916
2025-08-21,IM2603,2026-03-20,137.0,0.5614754098360656,7253.343,6893.0,0.1047538624900693,0.08884933400886613,0.0960138028402196,0.015904528481203162,0.008740059649849696,6954.830162193213,6926.909349970818,-61.830162193213255,-33.90934997081786
2025-08-22,IM2509,2025-09-19,20.0,0.08196721311475409,7362.94,7348.6,0.03778378543751033,0.10244141324168422,0.06189120285130331,-0.06465762780417389,-0.024107417413792985,7309.756870314418,7334.093372839215,38.843129685582426,14.506627160785683
