date,delta,n_contracts,predicted_state,predicted_variance,predicted_std,filtered_state,filtered_variance,filtered_std
2024-06-17,0.004098360655737705,3,0.14304192963998208,0.003071040523592654,0.055416969635596766,0.1415362433529173,0.0005110413925788586,0.022606224642316076
2024-06-18,0.004098360655737705,3,0.13998683271413206,0.0030675990890011474,0.0553859105639796,0.11858833489168684,0.0005000867681099544,0.02236261988475309
2024-06-19,0.004098360655737705,3,0.11777302760230045,0.003057334130656261,0.055293165315943534,0.13840004877578813,0.0004890795600057601,0.02211514322824431
2024-06-20,0.004098360655737705,3,0.1369509649684144,0.0030470198991640017,0.05519981792690988,0.14742956279244218,0.00047820839749500483,0.021867976529505534
2024-06-21,0.004098360655737705,3,0.1456916249270061,0.003036833148294526,0.05510746907901438,0.17075370652395938,0.0004674787830929476,0.021621257666772014
2024-06-24,0.004098360655737705,4,0.16826962954680014,0.0030267790341433334,0.055016170660482484,0.1692718735712374,0.00034102343874226835,0.01846681994124241
2024-06-25,0.004098360655737705,4,0.1668352004145911,0.0029082848907856468,0.053928516489753796,0.1413912865848271,0.00033162669579516087,0.018210620412143042
2024-06-26,0.004098360655737705,4,0.13984651311152266,0.0028994797350084256,0.05384681731549624,0.11816217265488738,0.0003237864390519149,0.017994066773576085
2024-06-27,0.004098360655737705,4,0.11736049829095693,0.002892133074325434,0.053778555896615836,0.11245892417743161,0.00031608168216054036,0.01777868617644567
2024-06-28,0.004098360655737705,4,0.1118396966720821,0.002884913382881703,0.05371138969419524,0.16410018672272064,0.000308495192947014,0.01756403122711338
2024-07-01,0.004098360655737705,4,0.16182895577375753,0.0028778045133826314,0.053645172321306146,0.17942267943127396,0.0003010268395408766,0.01735012505836418
2024-07-02,0.004098360655737705,4,0.17666128210233367,0.0028708063422598785,0.05357990614269382,0.1782940653761494,0.00029367664486133413,0.01713699637805103
2024-07-03,0.004098360655737705,4,0.17556877239891705,0.0028639188909897343,0.05351559483916566,0.16720882770926812,0.00028644458776649597,0.016924673933830927
2024-07-04,0.004098360655737705,4,0.16483815136796529,0.00285714213976133,0.05345224167199473,0.1694268060130557,0.0002793306005431402,0.01671318642698454
2024-07-05,0.004098360655737705,4,0.16698517656923134,0.0028504760251244396,0.05338984945778027,0.17558101345801397,0.0002723345686654359,0.01650256248785127
2024-07-08,0.004098360655737705,4,0.17294251098299934,0.0028439204397633913,0.05332842056317992,0.19007769883840903,0.00026545633064448576,0.016292830651684985
2024-07-09,0.004098360655737705,4,0.18697544755112644,0.0028374752323560826,0.053267956900524,0.1952617749931573,0.00025869567794644576,0.016084019334309623
2024-07-10,0.004098360655737705,4,0.19199368516441595,0.0028311402074972557,0.05320845992412537,0.1586763088946274,0.00025205235497997283,0.01587615680761477
2024-07-11,0.004098360655737705,4,0.1565785877401216,0.0028249151256867343,0.053149930627299356,0.12307813705669633,0.0002455260591537854,0.015669271174939357
2024-07-12,0.004098360655737705,3,0.12211920104345303,0.0028187997033833605,0.053092369540107744,0.12523705380650674,0.00045254302256380994,0.02127305860857366
2024-07-15,0.004098360655737705,3,0.12420905406923008,0.003012783578606177,0.054888829269771976,0.15532094261939924,0.00044730462602875166,0.02114957744326708
2024-07-16,0.004098360655737705,3,0.15333055959661324,0.003007874973808358,0.054844096982340385,0.18102767980748455,0.0004373512676237196,0.020912944977303404
2024-07-17,0.004098360655737705,3,0.17821493853345433,0.0029985482452007826,0.054759001499304044,0.19213863153898642,0.0004274342304682602,0.020674482592516318
2024-07-18,0.004098360655737705,3,0.18897045103637095,0.002989255551179692,0.05467408482251616,0.17477016526023847,0.0004176522743062471,0.020436542621154075
2024-07-19,0.004098360655737705,3,0.17215760181051004,0.002980089433909347,0.05459019540090827,0.19666641633656726,0.000408007817552951,0.020199203389068367
2024-07-22,0.004098360655737705,4,0.19335339204607993,0.0029710521595497684,0.05450735876512242,0.196526147563922,0.0003855015759929938,0.019634194049998433
2024-07-23,0.004098360655737705,4,0.1932176104699907,0.0029499628348751803,0.054313560322217694,0.23707117818704848,0.00037638328067166185,0.019400600008032273
2024-07-24,0.004098360655737705,4,0.23246560599154342,0.002941418596602519,0.05423484670027674,0.22924869783091922,0.00036760183919141656,0.019172945501185167
2024-07-25,0.004098360655737705,4,0.22489336669941978,0.002933190004991857,0.05415893282729874,0.21526692724212093,0.00035895061091005385,0.018945991948432096
2024-07-26,0.004098360655737705,4,0.21135887280414256,0.002925083428797268,0.054084040425963625,0.1690379917214408,0.00035042678124733254,0.01871968966749536
2024-07-29,0.004098360655737705,4,0.1666088004427002,0.0029170962306349657,0.054010149329871006,0.2051452043489363,0.00034203060238642764,0.018494069384168203
2024-07-30,0.004098360655737705,4,0.20156094371944933,0.0029092286468115265,0.053937265844789785,0.21447543060787846,0.00033376232028093673,0.018269163097442004
2024-07-31,0.004098360655737705,4,0.21059269613887316,0.0029014809077961405,0.05386539620012221,0.023483165334815436,0.000325622128878715,0.01804500287832382
2024-08-01,0.004098360655737705,4,0.025710271415466612,0.0028938531953263615,0.053794546148530346,0.09475808676693644,0.0003176101688844712,0.017821620826526167
2024-08-02,0.004098360655737705,4,0.09470510886346949,0.0028863456412486057,0.05372472095086773,0.10776532825354894,0.0003097265272235747,0.017599049043160675
2024-08-05,0.004098360655737705,4,0.10729624883225111,0.0028789583270157145,0.05365592536724825,0.08230542572238987,0.00030197123659173335,0.01737731960319926
2024-08-06,0.004098360655737705,4,0.08265080831426716,0.0028716912832649853,0.053588163648934505,0.1408426489580168,0.0002943442750844392,0.017156464527531282
2024-08-07,0.004098360655737705,4,0.1393154263966017,0.002864544489470943,0.05352143953100424,0.1858848789288755,0.0002868455659080853,0.016936515754667054
2024-08-08,0.004098360655737705,4,0.18291675590623258,0.0028575178736746473,0.053455756225823305,0.08719791683845494,0.0002794749771745381,0.016717505112143323
2024-08-09,0.004098360655737705,3,0.08738678869118251,0.002850611312291196,0.05339111641735164,0.1562231534864143,0.0005878878015421417,0.024246397702383373
2024-08-12,0.004098360655737705,3,0.1542039087475177,0.0031396075078384475,0.05603220063355042,0.12863323199111848,0.0005872361184452213,0.024232955214856095
2024-08-13,0.004098360655737705,3,0.12749658854957174,0.0031389968525062685,0.05602675122212842,0.1449934782676686,0.0005752913934372095,0.02398523282015852
2024-08-14,0.004098360655737705,3,0.1433334707204607,0.003127804127005142,0.05592677468802525,0.15682003779382858,0.0005631126944778521,0.023729995669570868
2024-08-15,0.004098360655737705,3,0.1547816987322395,0.0031163921577616895,0.05582465546478267,0.153143922365924,0.0005510640399771118,0.023474753246351957
2024-08-16,0.004098360655737705,3,0.15122318219806244,0.0031051020458173597,0.05572344251585108,0.14551776420155332,0.0005391580667535944,0.023219777491474684
2024-08-19,0.004098360655737705,4,0.1438409847528557,0.003093945632419378,0.05562324723008697,0.13315337034165364,0.00037321517557685035,0.019318777797180917
2024-08-20,0.004098360655737705,4,0.1318721277219953,0.0029384499446945714,0.05420747129957799,0.1424696722924008,0.00036246473882525353,0.019038506738325186
2024-08-21,0.004098360655737705,4,0.14089040127169628,0.0029283763190985756,0.05411447421068208,0.10559167053391282,0.00035404325224603494,0.018816037102589774
2024-08-22,0.004098360655737705,4,0.10519212640011744,0.002920485020845214,0.05404151201479483,0.08723528279706404,0.00034577446821854523,0.01859501191767688
2024-08-23,0.004098360655737705,4,0.08742295931317019,0.0029127368115071414,0.053969776833957185,0.09120545868655514,0.0003376275584509106,0.01837464444420383
2024-08-26,0.004098360655737705,4,0.09126612931787219,0.0029051028036375243,0.053899005590432966,0.1030684620075748,0.0003296023279450312,0.01815495326198972
2024-08-27,0.004098360655737705,4,0.10274963528789782,0.0028975828145146837,0.05382920038895881,0.09341450867300959,0.0003216989553865176,0.017935968203208814
2024-08-28,0.004098360655737705,4,0.09340451181858232,0.0028901770115747887,0.053760366549855186,0.10289783752226864,0.0003139175769361841,0.01771771929273585
2024-08-29,0.004098360655737705,4,0.10258446907807521,0.0028828855224064284,0.053692508997125736,0.08811480813102089,0.00030625828024950373,0.017500236576958143
2024-08-30,0.004098360655737705,4,0.08827434864097948,0.002875708429146584,0.05362563220276833,0.06341073176817255,0.00029872110396797177,0.01728355009736055
2024-09-02,0.004098360655737705,4,0.06436055542016175,0.0028686457680040128,0.053559740178645496,0.09836676227249828,0.00029130603734720564,0.017067689865567795
2024-09-03,0.004098360655737705,4,0.09819834287770753,0.0028616975289107623,0.05349483646961417,0.1422180504398443,0.0002840130199561964,0.0168526858380555
