date,delta,spot,n_contracts,predicted_state,predicted_variance,predicted_std,filtered_state,filtered_variance,filtered_std,transition_cross_covariance,curve_log_likelihood,return_log_likelihood,curve_innovation_mean,standardized_curve_innovation,log_return,return_residual,standardized_return_residual,sample,model
2022-09-01,0.004098360655737705,6717.1,4,0.15671298022554112,0.002971210724275774,0.054508813271578145,0.1527466368923811,0.00027800521892964634,0.016673488505098335,0.0002759344284255675,10.308765354941182,0.0,0.0013276157298662567,0.1226788843371945,,,,in_sample,exact_corr_curve
2022-09-02,0.004098360655737705,6776.827,4,0.15143998957888055,0.0029642594482455565,0.05444501307048752,0.1971793725157777,0.000270696350663938,0.01645285235647418,0.00026874359274887505,9.490945797146924,0.0,0.025983102891731367,0.6874433326700473,,,,in_sample,exact_corr_curve
2022-09-05,0.004098360655737705,6791.092,4,0.19439246742468094,0.002957429451856291,0.05438225309654144,0.20384282169907977,0.00026351706674666733,0.016233208763108645,0.00026167821633537767,9.211667115830965,0.0,0.0036133955797173333,0.07076240621636887,,,,in_sample,exact_corr_curve
2022-09-06,0.004098360655737705,6919.646,4,0.20083392661927735,0.0029507205495406573,0.0543205352471849,0.2033862676472059,0.00025646711108312997,0.016014590568701092,0.0002547381072226067,8.925468812865642,0.0,-0.0014597900111811089,-0.08381157554441873,,,,in_sample,exact_corr_curve
2022-09-07,0.004098360655737705,6963.52,4,0.20039258247236877,0.0029441325019830956,0.05425986087323755,0.23820630809027526,0.0002495461701006557,0.01579703042032444,0.00024792301784754434,5.724341198422124,0.0,0.01605127589668208,0.2920232687210686,,,,in_sample,exact_corr_curve
2022-09-08,0.004098360655737705,6897.1,3,0.23405260800843503,0.002937665016155994,0.0542002307758555,0.16981255826688654,0.0004963978427054893,0.022279987493387183,0.0002412326450840612,7.036880101954898,0.0,-0.031102453478863926,-0.8814906716187897,,,,in_sample,exact_corr_curve
2022-09-09,0.004098360655737705,6913.579,3,0.16793736700730594,0.003168343141863294,0.056288037289137144,0.11878826655071006,0.0004914963497275594,0.022169716951904447,0.0004798605587157128,7.342335785658369,0.0,-0.022657843866441447,-0.5976939913359739,,,,in_sample,exact_corr_curve
2022-09-13,0.004098360655737705,6904.078,3,0.11861292796955507,0.0031637627912365985,0.0562473358590129,0.13720690833130114,0.0004804292058486063,0.02191869535005691,0.000475122356901395,7.760722001410447,0.0,0.012686261503002757,0.4302912915779696,,,,in_sample,exact_corr_curve
2022-09-14,0.004098360655737705,6829.558,3,0.1364179604963841,0.0031534207587926182,0.056155327074041854,0.13740408803702694,0.00046936900196462673,0.021664925616411118,0.0004644239102357184,7.732142535283429,0.0,0.003919576162315419,0.18646866431653641,,,,in_sample,exact_corr_curve
2022-09-15,0.004098360655737705,6619.189,3,0.1366085712436857,0.0031430852116400526,0.05606322512699437,0.21852468325905078,0.0004584555494703739,0.02141157512819582,0.00045373217236202064,6.65780996800256,0.0,0.044985613004468544,1.3125454076745677,,,,in_sample,exact_corr_curve
2022-09-16,0.004098360655737705,6481.244,3,0.21502666817664617,0.0031328868008300113,0.05597219667683243,0.23684165671290042,0.0004476926596539201,0.021158749009663122,0.0004431822969176251,7.845355084195534,0.0,0.012242305838568395,0.3602871142904854,,,,in_sample,exact_corr_curve
2022-09-19,0.004098360655737705,6399.801,4,0.23273341941399994,0.0031228290879376694,0.0558822788362972,0.2585122147451971,0.00032745797084998083,0.018095799812386876,0.0004327779682191554,10.469939529037331,0.0,0.015268503181404953,0.45581667980246665,,,,in_sample,exact_corr_curve
2022-09-20,0.004098360655737705,6482.131,4,0.25368203197924183,0.0030104720908567025,0.05486776914415878,0.252599351067737,0.00031831022143774697,0.017841250557002638,0.00031654884717380294,10.559596922644575,0.0,0.0013848876621079219,0.0864781429758805,,,,in_sample,exact_corr_curve
2022-09-21,0.004098360655737705,6480.602,4,0.24796615285210544,0.003001923695512296,0.054789813793371264,0.20822318761107644,0.00031046289723975256,0.01761995735635454,0.00030770585116072347,9.954504498142745,0.0,-0.01869047894747575,-0.4375965983413004,,,,in_sample,exact_corr_curve
2022-09-22,0.004098360655737705,6487.275,4,0.2050683624952549,0.002994590522442374,0.05472285192168235,0.16512805896247912,0.0003027522187190163,0.01739977639853502,0.00030011995724637977,10.210777221021901,0.0,-0.020081669839918742,-0.4953552206794039,,,,in_sample,exact_corr_curve
2022-09-23,0.004098360655737705,6363.684,4,0.1634089298141371,0.0029873850421216377,0.05465697615237819,0.13707808973203514,0.00029516606937616955,0.017180397823571187,0.0002926661567164025,10.474791757026523,0.0,-0.012982205478691021,-0.3072556072106058,,,,in_sample,exact_corr_curve
2022-09-26,0.004098360655737705,6283.593,4,0.1362934334342199,0.002980295931915182,0.05459208671515664,0.11154501782409809,0.0002877043397056361,0.01696184953669959,0.0002853327367274703,10.297827949706567,0.0,-0.011588638464702239,-0.25474193212810026,,,,in_sample,exact_corr_curve
2022-09-27,0.004098360655737705,6409.776,4,0.11161098500798776,0.0029733230894921593,0.05452818619294208,0.06838183741785905,0.0002803669890897358,0.016744162836336004,0.0002781195914221387,9.035729384244135,0.0,-0.02045130087071187,-0.4475562229948932,,,,in_sample,exact_corr_curve
2022-09-28,0.004098360655737705,6211.109,4,0.06988576768472575,0.00296646647689613,0.054465277717974867,0.05316183945137666,0.00027315392590741817,0.01652736899531859,0.0002710266815358886,10.028779660415655,0.0,-0.006650558294053714,-0.11127655041889561,,,,in_sample,exact_corr_curve
2022-09-29,0.004098360655737705,6228.779,4,0.05517281750741933,0.0029597260085089906,0.05440336394478737,0.022649469419946153,0.00026606500616500634,0.016311499200410928,0.0002640539184999859,8.247191920964545,0.0,-0.013566330561095954,-0.2385967678378019,,,,in_sample,exact_corr_curve
