date,contract,expiry,futures_price,volume,hold,price_source,spot,spot_duplicate,risk_free_rate,quality_flags,exclusion_reasons,sessions_to_expiry,tau,implied_carry,excluded,delta,spot_state,n_contracts,predicted_state,predicted_variance,predicted_std,filtered_state,filtered_variance,filtered_std,transition_cross_covariance,curve_log_likelihood,return_log_likelihood,curve_innovation_mean,standardized_curve_innovation,log_return,return_residual,standardized_return_residual,sample,model,maturity_loading,predicted_carry,fitted_carry,predicted_futures_price,fitted_futures_price,carry_residual,carry_prediction_error,futures_residual,futures_prediction_error
2025-07-25,IM2509,2025-09-19,6605.8,98231,172911,close,6706.61,False,0.014,,,40.0,0.16393442622950818,0.10638789294436293,False,0.004098360655737705,6706.61,4,0.09343450328130429,0.00303646054798488,0.05510408830554118,0.12483583553372618,0.00034500831143815505,0.01857439935605335,0.0003419598708347796,8.901982127458668,0.0,0.024572348357903513,0.8906013967328579,,,,in_sample,exact_rho0_curve,0.5476128949785739,0.09027221910529365,0.10746799356622647,6623.275027404165,6604.630443106607,-0.0010801006218635334,0.016115673839069283,1.169556893392837,-17.475027404164393
2025-07-25,IM2512,2025-12-19,6424.2,21466,78730,close,6706.61,False,0.014,,,99.0,0.4057377049180328,0.12003278248963106,False,0.004098360655737705,6706.61,4,0.09343450328130429,0.00303646054798488,0.05510408830554118,0.12483583553372618,0.00034500831143815505,0.01857439935605335,0.0003419598708347796,8.901982127458668,0.0,0.024572348357903513,0.8906013967328579,,,,in_sample,exact_rho0_curve,0.2877370554237659,0.08755088939163526,0.09658621627033047,6509.425725803662,6485.606036052211,0.023446566219300594,0.032481893097995804,-61.406036052210766,-85.2257258036625
2025-07-25,IM2603,2026-03-20,6263.6,6839,14591,close,6706.61,False,0.014,,,156.0,0.639344262295082,0.12088843486150891,False,0.004098360655737705,6706.61,4,0.09343450328130429,0.00303646054798488,0.05510408830554118,0.12483583553372618,0.00034500831143815505,0.01857439935605335,0.0003419598708347796,8.901982127458668,0.0,0.024572348357903513,0.8906013967328579,,,,in_sample,exact_rho0_curve,0.1882559575603554,0.08640643838396254,0.0923179262558131,6403.2198556001495,6379.064716413871,0.028570508605695807,0.034481996477546364,-115.46471641387052,-139.6198556001491
2025-07-28,IM2508,2025-08-15,6674.6,39355,63669,close,6729.979,False,0.014,,,14.0,0.05737704918032787,0.15800785708040158,False,0.004098360655737705,6729.979,4,0.12364866888327725,0.0030282977731061825,0.05502997158918204,0.17834581611359776,0.00033640963029363274,0.01834147295867027,0.0003335158180334617,9.015427332670665,0.0,0.03517776688949217,1.1517854324777446,,,,in_sample,exact_rho0_curve,0.7962899935899053,0.11636393904469777,0.1599187300621158,6690.567392189634,6673.868235283166,-0.0019108729817142178,0.0416439180357038,0.7317647168347321,-15.967392189633756
2025-07-28,IM2509,2025-09-19,6602.0,116079,180433,close,6729.979,False,0.014,,,39.0,0.1598360655737705,0.13411925966291693,False,0.004098360655737705,6729.979,4,0.12364866888327725,0.0030282977731061825,0.05502997158918204,0.17834581611359776,0.00033640963029363274,0.01834147295867027,0.0003335158180334617,9.015427332670665,0.0,0.03517776688949217,1.1517854324777446,,,,in_sample,exact_rho0_curve,0.5549277708860102,0.10710768772566237,0.13746065371200805,6630.565248942481,6598.474976410176,-0.0033413940490911176,0.027011571937254564,3.5250235898238316,-28.56524894248105
2025-07-28,IM2512,2025-12-19,6419.4,24230,79041,close,6729.979,False,0.014,,,98.0,0.4016393442622951,0.1316363037626658,False,0.004098360655737705,6729.979,4,0.12364866888327725,0.0030282977731061825,0.05502997158918204,0.17834581611359776,0.00033640963029363274,0.01834147295867027,0.0003335158180334617,9.015427332670665,0.0,0.03517776688949217,1.1517854324777446,,,,in_sample,exact_rho0_curve,0.29031044389086796,0.09635147213749662,0.11223062522949512,6511.021992711235,6469.62883243205,0.019405678533170684,0.03528483162516918,-50.228832432050694,-91.62199271123518
2025-07-28,IM2603,2026-03-20,6256.2,6593,15608,close,6729.979,False,0.014,,,155.0,0.6352459016393442,0.12891463552193871,False,0.004098360655737705,6729.979,4,0.12364866888327725,0.0030282977731061825,0.05502997158918204,0.17834581611359776,0.00033640963029363274,0.01834147295867027,0.0003335158180334617,9.015427332670665,0.0,0.03517776688949217,1.1517854324777446,,,,in_sample,exact_rho0_curve,0.18943726158210755,0.09214388956209761,0.10250556734976288,6404.0553473100135,6362.040914388966,0.026409068172175837,0.0367707459598411,-105.84091438896576,-147.8553473100137
2025-07-29,IM2508,2025-08-15,6731.0,38521,59508,close,6773.884,False,0.014,,,13.0,0.05327868852459016,0.13320167514372522,False,0.004098360655737705,6773.884,4,0.17537619066864618,0.003020262408224358,0.05495691410754754,0.15947525652455288,0.00032794754746563607,0.018109322115022308,0.0003252035656011364,8.965627114371227,0.0,0.00036814709905162203,0.21071021185595862,,,,in_sample,exact_rho0_curve,0.8088518919893941,0.15866791087192342,0.1458064102050748,6721.873520605292,6726.481221870379,-0.01260473506134957,-0.0254662357281982,4.518778129620841,9.12647939470844
2025-07-29,IM2509,2025-09-19,6662.0,116403,174556,close,6773.884,False,0.014,,,38.0,0.1557377049180328,0.12094192641047222,False,0.004098360655737705,6773.884,4,0.17537619066864618,0.003020262408224358,0.05495691410754754,0.15947525652455288,0.00032794754746563607,0.018109322115022308,0.0003252035656011364,8.965627114371227,0.0,0.00036814709905162203,0.21071021185595862,,,,in_sample,exact_rho0_curve,0.5623897554494257,0.1364938322944279,0.12755130982971385,6645.884039673771,6655.146130229454,-0.006609383419241638,-0.015551905883955691,6.8538697705462255,16.11596032622856
2025-07-29,IM2512,2025-12-19,6471.8,26296,78495,close,6773.884,False,0.014,,,97.0,0.3975409836065574,0.12875635192670684,False,0.004098360655737705,6773.884,4,0.17537619066864618,0.003020262408224358,0.05495691410754754,0.15947525652455288,0.00032794754746563607,0.018109322115022308,0.0003252035656011364,8.965627114371227,0.0,0.00036814709905162203,0.21071021185595862,,,,in_sample,exact_rho0_curve,0.292924264790275,0.11161221252189196,0.10695444307825484,6516.0591931272065,6528.135859254111,0.021801908848451998,0.01714413940481488,-56.3358592541108,-44.259193127206345
