date,open,high,low,close,volume,hold,settle,contract,expiry,expiry_source
2023-09-13,6147.8,6147.8,6013.0,6065.6,27435,88658,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-09-14,6056.2,6064.6,5993.2,6041.0,21374,89615,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-09-15,6050.0,6087.0,6001.2,6043.8,22088,92546,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-09-18,6026.0,6081.6,6000.0,6060.0,15326,91049,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-09-19,6052.6,6057.6,5996.8,6021.6,13346,91775,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-09-20,6003.6,6027.0,5971.0,5974.0,11296,90930,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-09-21,5960.2,5989.8,5915.2,5927.2,14818,93035,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-09-22,5930.0,6057.2,5912.8,6056.0,20359,93055,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-09-25,6047.8,6061.4,6001.8,6018.2,12940,91366,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-09-26,6010.0,6025.0,5992.0,5997.0,10577,91165,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-09-27,5995.8,6065.0,5986.0,6034.4,16279,91813,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-09-28,6043.6,6060.0,6028.6,6054.0,10923,89262,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-10-09,6050.0,6058.0,6002.8,6032.4,13497,91549,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-10-10,6060.4,6073.6,6006.8,6015.0,12084,90930,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-10-11,6040.0,6095.0,6009.0,6021.2,15117,92572,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-10-12,6060.2,6074.0,6034.2,6071.0,12390,90909,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-10-13,6052.6,6063.8,6037.8,6061.0,10099,91950,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-10-16,6076.2,6076.2,5974.0,5991.0,14818,94316,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-10-17,6002.0,6002.0,5939.2,5981.4,13894,94713,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-10-18,5969.8,5969.8,5869.8,5874.4,17970,98036,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-10-19,5850.0,5897.4,5801.2,5815.0,19853,96974,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-10-20,5800.0,5830.0,5725.0,5748.0,18297,97819,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-10-23,5727.0,5731.0,5550.0,5585.0,23981,98090,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-10-24,5610.0,5707.8,5568.6,5660.8,25330,97660,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-10-25,5711.4,5774.6,5708.6,5721.2,18219,94900,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-10-26,5680.0,5781.6,5680.0,5762.0,20070,97364,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-10-27,5745.2,5912.2,5731.0,5892.6,24822,95879,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-10-30,5890.0,5984.4,5882.2,5957.0,21774,96473,0.0,IM2312,2023-12-15,contract_code_cffex_rule
