window,cut_date,test_start,test_end,model,model_label,maturity_bucket,n_observations,carry_rmse_bps,carry_mae_bps,carry_mean_bias_bps,futures_rmse_points,futures_mae_points,futures_mean_bias_points,marginal_standardized_innovation_rms,mean_observation_noise_carry_bps
3,2025-03-03,2025-03-04,2025-08-25,two_bucket_carry,Two carry-noise buckets,43-63,43,302.48776661522766,176.0258968903782,17.49120705111783,34.88886579265009,21.864826726819004,-1.1870916229116246,1.3471771034233198,38.48965702839803
3,2025-03-03,2025-03-04,2025-08-25,two_bucket_carry,Two carry-noise buckets,64-126,122,119.86540813450132,84.09099679353082,5.619689650547491,27.708141529373677,19.495750209152245,-0.7995814081423603,0.9439448622231701,38.489657028398035
3,2025-03-03,2025-03-04,2025-08-25,two_bucket_carry,Two carry-noise buckets,127-252,76,67.39575168587875,52.1037774482083,6.671904916064328,23.887284719336634,18.537082291835244,-2.466372658802823,0.7170904606314369,38.48965702839804
3,2025-03-03,2025-03-04,2025-08-25,constant_log_futures,Constant log-futures noise,6-10,30,1279.106676713736,689.2660055994886,120.32126660296868,25.21003097752191,13.834281912819673,-2.3179747568061733,1.899443529439562,296.4345815953694
3,2025-03-03,2025-03-04,2025-08-25,constant_log_futures,Constant log-futures noise,11-15,28,496.4837479862164,415.3818943230849,98.47156927088973,16.806971021372856,13.884480020951514,-3.5836462168078276,0.883224030034968,180.16757096141498
3,2025-03-03,2025-03-04,2025-08-25,constant_log_futures,Constant log-futures noise,16-21,33,352.041166056403,284.859740367265,-75.68927447487593,17.711633568633896,13.910577052013126,3.2290983448306867,0.7575292138595908,124.23811618098111
3,2025-03-03,2025-03-04,2025-08-25,constant_log_futures,Constant log-futures noise,22-42,112,359.1032455115997,221.9076574149246,21.94741167215387,24.167414244225554,16.760875746463928,-1.8344854988524812,0.9607711983876942,76.58361899630776
3,2025-03-03,2025-03-04,2025-08-25,constant_log_futures,Constant log-futures noise,43-63,43,304.7974811139291,172.60516087188392,20.18518827804474,35.048475922471034,21.439423881266055,-1.6554953945905952,1.313926044862072,44.11458633263886
3,2025-03-03,2025-03-04,2025-08-25,constant_log_futures,Constant log-futures noise,64-126,122,118.0681501245836,81.76554438988896,10.324807828265103,27.127545799260147,18.82349857306432,-1.7346870582284177,0.9407498529137153,24.94010083349226
3,2025-03-03,2025-03-04,2025-08-25,constant_log_futures,Constant log-futures noise,127-252,76,63.65332931899285,49.00712440892944,5.700153461814928,22.471133300648855,17.414920890029705,-1.7994848396770187,0.7163163190799533,16.01008625872208
4,2025-08-25,2025-08-26,2026-02-27,constant_carry,Constant carry noise,6-10,30,1130.257139516968,849.5588212381286,43.6159448637801,28.311259118053645,20.813958403070988,-1.5476667241060569,1.2322192403958523,57.71853058038973
