window,model,model_label,date,n_observations,carry_squared_error,carry_absolute_error,futures_squared_error,futures_absolute_error,comparison_log_likelihood,mean_log_predictive_score
1,two_bucket_carry,Two carry-noise buckets,2024-04-08,4,0.005213676443115072,0.05876443384739816,1184.6339321528721,33.55338082425715,6.777061153503792,1.694265288375948
1,two_bucket_carry,Two carry-noise buckets,2024-04-09,4,0.00011869053313558195,0.00947942580600904,100.2217164160288,7.730825580597411,8.229213256104693,2.057303314026173
1,two_bucket_carry,Two carry-noise buckets,2024-04-10,4,0.0007299019200566405,0.02117394392313126,129.27518643455005,9.802216448823174,9.632928136095767,2.408232034023942
1,two_bucket_carry,Two carry-noise buckets,2024-04-11,4,0.00018335957830840793,0.011215461103368591,42.29329236193441,6.087804255813353,7.020924505828096,1.755231126457024
1,two_bucket_carry,Two carry-noise buckets,2024-04-12,3,0.00044121599290805266,0.018256804659511957,303.4002912908408,15.459452465472774,3.173528651683915,1.0578428838946383
1,two_bucket_carry,Two carry-noise buckets,2024-04-15,3,0.0004963242956023527,0.01909494363370438,363.1610302836857,16.290755384102038,-4.1817315859281265,-1.393910528642709
1,two_bucket_carry,Two carry-noise buckets,2024-04-16,3,6.763422774692445e-05,0.00811020818515168,118.77477835597693,9.32478739809479,1.4386574070506342,0.47955246901687804
1,two_bucket_carry,Two carry-noise buckets,2024-04-17,3,0.0012866040634801578,0.028948762376273477,740.384172648961,24.220092272939837,-8.349686120836637,-2.7832287069455455
1,two_bucket_carry,Two carry-noise buckets,2024-04-18,3,8.576920822059959e-05,0.008752920486760804,225.83587794819303,11.796400082304595,-1.2843764481840534,-0.4281254827280178
1,two_bucket_carry,Two carry-noise buckets,2024-04-19,3,0.001935217166954776,0.03652694293320569,690.3161805930564,22.63807923319079,-2.703252112786121,-0.9010840375953736
1,two_bucket_carry,Two carry-noise buckets,2024-04-22,4,0.0004009453797576681,0.016507054920979092,1344.0704724307961,26.477814411104873,-7.029286296668884,-1.757321574167221
1,two_bucket_carry,Two carry-noise buckets,2024-04-23,4,0.0007000234552780038,0.021255671738756275,348.8348107338832,17.66027426911114,7.516826105491766,1.8792065263729416
1,two_bucket_carry,Two carry-noise buckets,2024-04-24,4,0.00453218006002212,0.04983789936926927,1998.5580323435984,42.273294454262896,7.716510215869711,1.9291275539674277
1,two_bucket_carry,Two carry-noise buckets,2024-04-25,4,0.00027383392832618504,0.011736276710127107,80.14731771543282,8.690515374208417,11.69640776083109,2.9241019402077724
1,two_bucket_carry,Two carry-noise buckets,2024-04-26,4,0.005266739691357591,0.05250545597658573,1683.5153308400104,39.6673233497479,9.537968485121517,2.3844921212803794
1,two_bucket_carry,Two carry-noise buckets,2024-04-29,4,0.0048294674759248365,0.051352633300437475,1832.401416721651,41.25850175094047,8.666112989565981,2.1665282473914953
1,two_bucket_carry,Two carry-noise buckets,2024-04-30,4,0.00012824219189347887,0.008343242459763079,105.21002591403165,8.144118922402185,12.20042790386739,3.0501069759668473
1,two_bucket_carry,Two carry-noise buckets,2024-05-06,4,0.0001862170385369748,0.010933403765210282,85.81380320327159,8.592919332502788,12.7588202373239,3.189705059330975
1,two_bucket_carry,Two carry-noise buckets,2024-05-07,4,0.0001251627217842313,0.009741508368808473,157.86827158385472,10.663592591082534,13.037503721514577,3.2593759303786443
1,two_bucket_carry,Two carry-noise buckets,2024-05-08,4,0.00019377153152428625,0.012765773942907364,219.29539252625855,13.142807231705092,11.682353715013384,2.920588428753346
1,two_bucket_carry,Two carry-noise buckets,2024-05-09,4,0.0017256512284461879,0.026057483635660503,197.89600342694925,12.634986293448037,11.445193697874565,2.8612984244686412
1,two_bucket_carry,Two carry-noise buckets,2024-05-10,3,0.000133237202929527,0.009749755310089656,185.36335399995266,12.833802358065137,10.849506988711669,3.6165023295705563
1,two_bucket_carry,Two carry-noise buckets,2024-05-13,3,0.00013997048181642945,0.010497538122350844,234.31915391154948,14.713331262318812,10.722068153973042,3.574022717991014
1,two_bucket_carry,Two carry-noise buckets,2024-05-14,3,7.985507931231122e-05,0.006912453024282492,73.79801985181659,7.35901544866374,11.027970663469294,3.675990221156431
1,two_bucket_carry,Two carry-noise buckets,2024-05-15,3,1.186786126583066e-05,0.0032471950219075305,30.749706742428355,5.102230224903603,10.270543669253305,3.4235145564177683
1,two_bucket_carry,Two carry-noise buckets,2024-05-16,3,3.54311614532174e-05,0.004969770498813956,40.02404356315282,5.853567520890768,10.827284167306132,3.6090947224353775
1,two_bucket_carry,Two carry-noise buckets,2024-05-17,3,0.001739781393675472,0.033913871858687716,1687.8762871843035,40.533753010100554,9.174824492247595,3.0582748307491983
1,two_bucket_carry,Two carry-noise buckets,2024-05-20,4,0.0008872435240839131,0.024809702012634497,665.2988281845461,24.818471485857117,14.154370869916628,3.538592717479157
1,two_bucket_carry,Two carry-noise buckets,2024-05-21,4,0.00013569603216207857,0.009549096661864008,125.4917970645946,9.369879396220085,11.238158930613958,2.8095397326534894
1,two_bucket_carry,Two carry-noise buckets,2024-05-22,4,1.9136088247103958e-05,0.004115407567296978,38.93037520166075,5.520373751239504,14.792647387223717,3.698161846805929
1,two_bucket_carry,Two carry-noise buckets,2024-05-23,4,2.090842158449451e-05,0.0039456094971442,32.738561444835035,5.1433447141350825,12.112211060988404,3.028052765247101
