date,open,high,low,close,volume
2023-03-30,6802.071,6814.689,6751.692,6807.645,14617575600
2023-03-31,6806.609,6878.319,6801.943,6875.808,15158195000
2023-04-03,6878.089,6966.693,6878.089,6962.205,19455447700
2023-04-04,6960.906,6966.993,6918.133,6953.363,21321196200
2023-04-06,6926.188,6988.375,6921.662,6983.027,19100949400
2023-04-07,6987.007,7043.222,6978.348,7042.89,16743732000
2023-04-10,7050.235,7052.741,6950.771,6968.573,18100786800
2023-04-11,6967.03,6986.443,6937.02,6984.142,16279396500
2023-04-12,6989.693,7027.84,6979.278,7021.016,18030093800
2023-04-13,7011.658,7029.104,6956.676,6966.818,18293674600
2023-04-14,6978.592,7026.121,6942.569,7020.094,17475180200
2023-04-17,7009.468,7030.24,6989.697,7012.773,17346310100
2023-04-18,7002.256,7014.385,6961.506,6997.072,16027809500
2023-04-19,6988.655,7011.931,6955.361,6965.576,16896811700
2023-04-20,6956.365,6963.899,6911.981,6963.899,17424078500
2023-04-21,6954.099,6963.077,6773.512,6773.512,19317732400
2023-04-24,6766.518,6771.652,6692.224,6725.271,17236563900
2023-04-25,6708.278,6711.568,6517.273,6603.239,19439982000
2023-04-26,6577.359,6667.429,6573.878,6624.4,18456174500
2023-04-27,6597.731,6672.219,6593.384,6633.493,17420209100
2023-04-28,6617.325,6724.573,6617.325,6723.305,18902761600
2023-05-04,6701.491,6738.443,6698.642,6733.969,20213704700
2023-05-05,6723.16,6723.98,6612.741,6653.653,18587696200
2023-05-08,6660.917,6714.389,6660.917,6702.5,20420461900
2023-05-09,6696.668,6705.738,6610.567,6611.637,21751823800
2023-05-10,6599.788,6648.038,6576.399,6627.311,17230127700
2023-05-11,6634.164,6653.382,6618.193,6622.521,15580515500
2023-05-12,6608.828,6630.559,6535.11,6535.944,15332911500
2023-05-15,6537.397,6585.91,6466.449,6585.91,16112681900
2023-05-16,6586.718,6586.718,6501.307,6516.289,14243410700
2023-05-17,6500.438,6555.769,6497.379,6554.98,12577806300
2023-05-18,6557.37,6595.491,6554.081,6583.738,14436880100
2023-05-19,6571.087,6621.426,6545.085,6602.317,13543298900
2023-05-22,6589.351,6608.883,6556.74,6595.984,13119854300
2023-05-23,6591.557,6600.802,6528.453,6528.453,12859551700
2023-05-24,6507.06,6564.513,6476.689,6513.182,12585509300
2023-05-25,6502.23,6541.388,6424.447,6501.0,13583464300
2023-05-26,6495.348,6558.109,6451.727,6546.408,12627561700
2023-05-29,6560.161,6579.151,6518.031,6534.117,15248265700
2023-05-30,6517.707,6565.477,6461.093,6564.469,15131765100
2023-05-31,6556.516,6581.934,6523.273,6561.649,14296836400
2023-06-01,6539.259,6616.527,6515.023,6574.758,15396233900
2023-06-02,6585.73,6640.53,6585.73,6626.279,14926360400
2023-06-05,6631.222,6647.204,6609.017,6632.956,13715059400
2023-06-06,6625.086,6625.086,6475.259,6489.811,15175795900
2023-06-07,6487.196,6517.319,6467.304,6488.557,13140470900
2023-06-08,6477.94,6478.317,6399.782,6442.482,13558307000
2023-06-09,6446.62,6500.447,6427.919,6495.564,15197757900
2023-06-12,6488.2,6549.785,6474.863,6530.161,14515322000
2023-06-13,6525.048,6561.021,6519.967,6554.957,14563630100
2023-06-14,6556.032,6591.694,6547.486,6578.123,14919593100
2023-06-15,6579.462,6618.624,6568.611,6613.955,14795542700
2023-06-16,6613.105,6674.622,6602.039,6669.005,15570868900
2023-06-19,6674.119,6707.227,6673.812,6693.299,16802575500
2023-06-20,6683.924,6717.713,6671.99,6693.915,15886065300
2023-06-21,6679.148,6681.566,6548.407,6548.407,15398394400
2023-06-26,6504.971,6535.492,6404.044,6420.973,15473268800
2023-06-27,6425.843,6518.983,6424.332,6507.273,13560711900
2023-06-28,6504.499,6505.47,6367.353,6475.505,14580838500
2023-06-29,6465.096,6542.276,6462.068,6520.039,13525214500
2023-06-30,6507.504,6615.974,6500.861,6602.037,14449892400
2023-07-03,6617.076,6640.339,6571.843,6612.884,16097735600
2023-07-04,6610.664,6639.816,6599.6,6638.447,13974279500
2023-07-05,6632.367,6642.549,6575.73,6584.423,13305228000
2023-07-06,6573.576,6619.292,6558.885,6567.079,12407726800
2023-07-07,6553.558,6558.108,6486.115,6521.427,12359954100
2023-07-10,6539.079,6556.154,6501.746,6526.852,12045093600
2023-07-11,6531.628,6579.37,6514.991,6579.37,11960364400
2023-07-12,6576.942,6576.962,6476.847,6482.987,14020447100
2023-07-13,6497.809,6553.599,6497.758,6548.313,13511775700
2023-07-14,6554.535,6571.144,6538.646,6544.459,13563197100
2023-07-17,6524.605,6525.187,6481.286,6516.56,12640877300
2023-07-18,6519.757,6537.914,6490.059,6510.034,11996865300
2023-07-19,6508.523,6530.543,6459.443,6492.349,10913633500
2023-07-20,6497.778,6512.449,6404.123,6408.76,12215096200
2023-07-21,6397.154,6447.296,6378.197,6401.417,11359084900
2023-07-24,6397.431,6437.989,6370.055,6393.794,10904946500
2023-07-25,6448.271,6499.416,6444.579,6498.269,14736572700
2023-07-26,6497.595,6497.595,6441.558,6457.254,14958352200
2023-07-27,6458.484,6475.83,6397.595,6407.546,14462435800
2023-07-28,6389.435,6471.676,6369.372,6465.376,15726753200
2023-07-31,6475.828,6549.745,6475.828,6515.849,18381598000
2023-08-01,6513.14,6521.97,6482.168,6507.412,18432646400
2023-08-02,6499.864,6515.069,6475.423,6496.022,16864628900
2023-08-03,6472.113,6502.545,6460.28,6499.545,16347139500
2023-08-04,6514.54,6561.739,6505.861,6535.322,19462299900
2023-08-07,6524.296,6532.518,6485.662,6503.983,16891941200
2023-08-08,6496.59,6500.902,6457.247,6471.344,14274341400
2023-08-09,6452.98,6464.363,6411.228,6420.977,13231946700
2023-08-10,6409.222,6438.431,6392.895,6426.814,13195769200
2023-08-11,6428.879,6428.879,6304.635,6304.635,14901672900
2023-08-14,6251.966,6320.949,6213.976,6319.407,13839222100
2023-08-15,6318.548,6325.574,6203.443,6261.733,12270310700
2023-08-16,6240.712,6255.811,6186.403,6186.403,12495875900
2023-08-17,6167.654,6255.05,6128.131,6247.601,12913523800
2023-08-18,6245.126,6259.791,6117.107,6117.107,13921253900
2023-08-21,6107.924,6154.25,6057.171,6057.171,11709169600
2023-08-22,6082.721,6108.21,5984.437,6099.195,14428242200
2023-08-23,6084.154,6084.154,5973.646,5973.671,12842238200
2023-08-24,5989.428,6049.546,5942.567,5987.966,13419745100
2023-08-25,5960.589,5980.241,5855.878,5879.027,14011710800
2023-08-28,6204.104,6204.104,5907.941,5922.162,21087009800
2023-08-29,5909.462,6121.591,5907.961,6108.759,18668957600
2023-08-30,6117.411,6185.273,6102.091,6139.627,16749956000
2023-08-31,6130.642,6130.953,6087.327,6104.295,14304040900
2023-09-01,6108.128,6136.782,6086.271,6107.2,12401705300
2023-09-04,6129.539,6198.762,6109.097,6198.762,15550728100
2023-09-05,6188.515,6206.346,6154.83,6167.642,14106799900
2023-09-06,6146.394,6202.324,6117.806,6195.383,12971766400
2023-09-07,6185.328,6185.328,6083.489,6083.489,13225411600
2023-09-08,6063.241,6128.839,6062.897,6102.488,11891827900
2023-09-11,6114.067,6204.434,6083.391,6182.643,14400329900
2023-09-12,6175.635,6212.26,6169.035,6184.606,12051225300
