cohort,scenario,date,elapsed_sessions,cash,equity,discounted_equity,discounted_pnl_change,contracts_1,contracts_2
2025-07-21,two_futures,2025-07-29,6,19.975241196263084,33.33190226524625,33.32042932303699,11.405826553919983,0.2265384042486107,0.0075054028407699
2025-07-21,two_futures,2025-07-30,7,7.002034529556923,19.563994565657016,19.55613847347198,-13.764290849565011,0.2371848829423194,0.0065439567365515
2025-07-21,two_futures,2025-07-31,8,-8.479271201122854,4.583412758297628,4.581309379483265,-14.974829093988713,0.2847636328568106,0.0057867444752939
2025-07-21,two_futures,2025-08-01,9,-7.163802873200368,5.740736111711772,5.737772398514745,1.15646301903148,0.3346307671062518,0.0048501875678895
2025-07-21,two_futures,2025-08-04,10,25.053450647179623,32.142507492900215,32.124070360415324,26.386297961900578,0.2049740092181654,0.0033276384244151
2025-07-21,two_futures,2025-08-05,11,33.88402787170777,40.86457843599284,40.838794995233144,8.71472463481782,0.2373017892814037,0.0027783118996501
2025-07-21,two_futures,2025-08-06,12,53.105565268549704,58.03985212901097,57.99990401781728,17.161109022584135,0.20683263625327,0.0019319536785126
2025-07-21,two_futures,2025-08-07,13,60.62773815256732,60.62773815256732,60.58253268480175,2.582628666984469,0.0,0.0
2025-08-18,no_hedge,2025-08-18,0,-39.536935817456445,0.0,0.0,0.0,0.0,0.0
2025-08-18,no_hedge,2025-08-19,1,-39.53920439524881,4.484360272745498,4.484102980766984,4.484102980766984,0.0,0.0
2025-08-18,no_hedge,2025-08-20,2,-39.541473103209206,-6.983671552731927,-6.982870193780138,-11.466973174547121,0.0,0.0
2025-08-18,no_hedge,2025-08-21,3,-39.54374194134511,-2.569910847599573,-2.569468523966227,4.413401669813911,0.0,0.0
2025-08-18,no_hedge,2025-08-22,4,-39.546010909663984,-12.55150211541072,-12.54862177333777,-9.979153249371542,0.0,0.0
2025-08-18,no_hedge,2025-08-25,5,-39.5482800081733,-1.234323558400483,-1.2339694999724071,11.314652273365363,0.0,0.0
2025-08-18,no_hedge,2025-08-26,6,-39.55054923688053,-1.0977608595359953,-1.0973830069069788,0.13658649306542836,0.0,0.0
2025-08-18,no_hedge,2025-08-27,7,-39.552818595793134,-5.527350918297067,-5.525131362459048,-4.427748355552069,0.0,0.0
2025-08-18,no_hedge,2025-08-28,8,-39.555088084918594,9.441619369002083,9.437286505434846,14.962417867893894,0.0,0.0
2025-08-18,no_hedge,2025-08-29,9,-39.55735770426438,4.933829796717873,4.9312826570835355,-4.506003848351311,0.0,0.0
2025-08-18,no_hedge,2025-09-01,10,48.774370627807436,48.774370627807436,48.74639336021776,43.81511070313422,0.0,0.0
2025-08-18,one_futures,2025-08-18,0,-39.594324604052574,-0.05738878659612823,-0.05738878659612823,-0.05738878659612823,0.2869439329806473,0.0
2025-08-18,one_futures,2025-08-19,1,-41.61807365181798,2.4054910161763274,2.4053530001595034,2.4627417867556316,0.351292164054698,0.0
2025-08-18,one_futures,2025-08-20,2,-7.000823163391926,25.55697838708535,25.554045787340858,23.148692787181353,0.2624476810481538,0.0
2025-08-18,one_futures,2025-08-21,3,-26.383499247864858,10.59033184588068,10.588509076789377,-14.965536710551481,0.3306253061489954,0.0
2025-08-18,one_futures,2025-08-22,4,22.001291349986367,48.99580014423963,48.98455649680559,38.39604742001621,0.2444234481577056,0.0
2025-08-18,one_futures,2025-08-25,5,37.519021769029735,75.83297821880255,75.81122597654668,26.826669479741092,0.3887398940506773,0.0
2025-08-18,one_futures,2025-08-26,6,38.75554785369127,77.2083362310358,77.18176088671242,1.3705349101657447,0.4367117381389231,0.0
2025-08-18,one_futures,2025-08-27,7,-17.232587988438507,16.79287968905756,16.78613636215432,-60.3956245245581,0.4171379606868398,0.0
2025-08-18,one_futures,2025-08-28,8,14.425642234145014,63.422349688065694,63.39324447024531,46.60710810809098,0.63346799169344,0.0
2025-08-18,one_futures,2025-08-29,9,16.578570761412756,61.06975826239501,61.03823038078202,-2.355014089463289,0.6250161465924533,0.0
2025-08-18,one_futures,2025-09-01,10,113.53874292279382,113.53874292279382,113.47361642804545,52.43538604726343,0.0,0.0
2025-08-18,two_futures,2025-08-18,0,-39.59311030067872,-0.056174483222271476,-0.056174483222271476,-0.056174483222271476,0.2508832776421495,0.0299891384692211
2025-08-18,two_futures,2025-08-19,1,-42.03093321830023,1.9926314496940805,1.992517121661327,2.0486916048835986,0.3170268635610098,0.0280862288939029
2025-08-18,two_futures,2025-08-20,2,-7.590394189459128,24.96740736101815,24.964542413083436,22.97202529142211,0.2321907650458992,0.0242816670576961
2025-08-18,two_futures,2025-08-21,3,-26.50344163460036,10.470389459145178,10.46858733409775,-14.495955078985686,0.3013590819379152,0.0230278367003647
2025-08-18,two_futures,2025-08-22,4,20.889830818621608,47.88433961287487,47.8733510254728,37.40476369137505,0.2191705296685372,0.0194311002704778
2025-08-18,two_futures,2025-08-25,5,36.20029804851382,74.51425449828665,74.49288052414724,26.61952949867444,0.3636431361161915,0.0188221680285722
2025-08-18,two_futures,2025-08-26,6,37.14084147889099,75.59362985623552,75.56761029876091,1.0747297746136724,0.4143106826017733,0.0163946368169619
2025-08-18,two_futures,2025-08-27,7,-18.172453572519988,15.85301410497608,15.846648189273058,-59.72096210948786,0.396276426457471,0.0148523858798142
2025-08-18,two_futures,2025-08-28,8,12.706671489817039,61.70337894373772,61.67506258060636,45.8284143913333,0.6169155636579812,0.0114393799966968
2025-08-18,two_futures,2025-08-29,9,14.615622163686844,59.1068096646691,59.07629517516314,-2.598767405443219,0.6096597945082667,0.0102676348803411
2025-08-18,two_futures,2025-09-01,10,111.30626527954679,111.30626527954679,111.24241934718414,52.166124172021,0.0,0.0
2025-09-22,no_hedge,2025-09-22,0,-13.744893361658944,0.0,0.0,0.0,0.0,0.0
2025-09-22,no_hedge,2025-09-23,1,-13.745682025706726,3.4251268286917362,3.424930310659104,3.424930310659104,0.0,0.0
2025-09-22,no_hedge,2025-09-24,2,-13.746470735007023,-5.60896774604063,-5.608324130933641,-9.033254441592746,0.0,0.0
2025-09-22,no_hedge,2025-09-25,3,-13.74725948956243,-6.720359023770993,-6.719202340213834,-1.1108782092801928,0.0,0.0
2025-09-22,no_hedge,2025-09-26,4,-13.748048289375543,-8.995944855942742,-8.99388044976918,-2.2746781095553468,0.0,0.0
2025-09-22,no_hedge,2025-09-29,5,-13.74883713444896,-11.801872695308752,-11.798487397777635,-2.8046069480084537,0.0,0.0
2025-09-22,no_hedge,2025-09-30,6,-13.749626024785279,-12.126589500889509,-12.122415491874602,-0.3239280940969671,0.0,0.0
2025-09-22,no_hedge,2025-10-09,7,-13.750414960387095,-11.518144819448423,-11.513519608211602,0.6088958836629992,0.0,0.0
2025-09-22,no_hedge,2025-10-10,8,-13.751203941257009,-12.362725463283864,-12.357052071818044,-0.8435324636064419,0.0,0.0
2025-09-22,no_hedge,2025-10-13,9,0.08292487986504682,0.08292487986504682,0.08288206905541623,12.439934140873461,0.0,0.0
2025-09-22,one_futures,2025-09-22,0,-13.793491594773108,-0.04859823311416456,-0.04859823311416456,-0.04859823311416456,0.2429911655708187,0.0
2025-09-22,one_futures,2025-09-23,1,-35.687010955928656,-18.516202101530194,-18.51513972696983,-18.466541493855665,0.3606062017251827,0.0
2025-09-22,one_futures,2025-09-24,2,24.27977594309887,32.41727893206526,32.413559129885456,50.92869885685529,0.1804192321459735,0.0
2025-09-22,one_futures,2025-09-25,3,19.33724498453644,26.364145450327875,26.359607750268538,-6.053951379616919,0.1826049302859668,0.0
2025-09-22,one_futures,2025-09-26,4,3.334232915377337,8.086336348810137,8.084480681290238,-18.2751270689783,0.1429563203071438,0.0
2025-09-22,one_futures,2025-09-29,5,21.504452856667356,23.451417295807566,23.44469039516033,15.360209713870091,0.0728797417417701,0.0
2025-09-22,one_futures,2025-09-30,6,26.782134614699004,28.405171138594774,28.395393992234393,4.950703597074064,0.0731069493420598,0.0
2025-09-22,one_futures,2025-10-09,7,30.487964332862095,32.720234473800765,32.70709537904793,4.311701386813535,0.1208071111138275,0.0
2025-09-22,one_futures,2025-10-10,8,19.226545235216363,20.615023713189508,20.605563250773724,-12.101532128274204,0.101078603853668,0.0
2025-09-22,one_futures,2025-10-13,9,29.262010771661384,29.262010771661384,29.24690396204535,8.641340711271628,0.0,0.0
2025-09-22,two_futures,2025-09-22,0,-13.792519931856155,-0.04762657019721139,-0.04762657019721139,-0.04762657019721139,0.2299215282515948,0.0082113227344657
2025-09-22,two_futures,2025-09-23,1,-35.390220203058846,-18.219411348660383,-18.218366002589118,-18.170739432391905,0.3479122586126044,0.0076143799644724
2025-09-22,two_futures,2025-09-24,2,23.807724891040273,31.945227880006666,31.941562244511744,50.159928247100865,0.1714491604769112,0.0050738775485927
2025-09-22,two_futures,2025-09-25,3,18.998894327336096,26.02579479312753,26.02131532874286,-5.920246915768885,0.1748235211955513,0.0041266544695305
2025-09-22,two_futures,2025-09-26,4,3.2897389949229243,8.041842428355725,8.039996971383527,-17.98131835735933,0.1370265016295656,0.0029262374599591
2025-09-22,two_futures,2025-09-29,5,21.1220573946687,23.06902183380891,23.06240462104315,15.022407649659623,0.0698003100769721,0.0013907526503217
2025-09-22,two_futures,2025-09-30,6,26.277568693686273,27.900605217582044,27.891001744347378,4.8285971233042275,0.0705227942763142,0.001054491532543
2025-09-22,two_futures,2025-10-09,7,29.896467623863558,32.12873776480223,32.11583619069772,4.224834446350343,0.1177473680843675,0.0011070978888113
2025-09-22,two_futures,2025-10-10,8,18.799604258911998,20.188082736885143,20.178818202406006,-11.937017988291714,0.0989308873111307,0.000671529093657
2025-09-22,two_futures,2025-10-13,9,28.887192300650447,28.887192300650447,28.872278994868662,8.693460792462655,0.0,0.0
2025-10-20,no_hedge,2025-10-20,0,-39.23039618715104,0.0,0.0,0.0,0.0,0.0
2025-10-20,no_hedge,2025-10-21,1,-39.23264717609936,-5.44733197827064,-5.447019435402301,-5.447019435402301,0.0,0.0
2025-10-20,no_hedge,2025-10-22,2,-39.2348982942065,-8.702722821799231,-8.701724205987258,-3.254704770584957,0.0,0.0
2025-10-20,no_hedge,2025-10-23,3,-39.23714954147986,-13.431165609341079,-13.428853886357404,-4.727129680370146,0.0,0.0
2025-10-20,no_hedge,2025-10-24,4,-39.239400917926844,-15.6844312582868,-15.680831965801474,-2.2519780794440702,0.0,0.0
2025-10-20,no_hedge,2025-10-27,5,-39.241652423554875,-6.105504913706895,-6.103753585655474,9.577078380146,0.0,0.0
2025-10-20,no_hedge,2025-10-28,6,-39.24390405837136,-13.619715090438454,-13.61502714305112,-7.511273557395647,0.0,0.0
2025-10-20,no_hedge,2025-10-29,7,-39.24615582238372,-18.94036538016901,-18.932759711707718,-5.317732568656597,0.0,0.0
2025-10-20,no_hedge,2025-10-30,8,-39.248407715599356,-20.24243343137747,-20.233143954763428,-1.30038424305571,0.0,0.0
2025-10-20,no_hedge,2025-10-31,9,-39.25065973802569,-17.54048419917417,-17.53142874644272,2.7017152083207066,0.0,0.0
2025-10-20,no_hedge,2025-11-03,10,-39.25291188967013,-17.65357574296918,-17.643449547466943,-0.1120208010242223,0.0,0.0
2025-10-20,no_hedge,2025-11-04,11,-39.25516417054009,-15.171265762384202,-15.161693476384809,2.4817560710821347,0.0,0.0
2025-10-20,no_hedge,2025-11-05,12,-39.25741658064299,-15.021908345370921,-15.011568951955715,0.15012452442909385,0.0,0.0
2025-10-20,no_hedge,2025-11-06,13,-39.25966911998624,-18.637913180620195,-18.624016314116883,-3.612447362161168,0.0,0.0
2025-10-20,no_hedge,2025-11-07,14,-39.26192178857726,-23.687892207149247,-23.66887186850227,-5.044855554385386,0.0,0.0
2025-10-20,no_hedge,2025-11-10,15,-39.264174586423465,-22.536590606787094,-22.517202705124223,1.1516691633780454,0.0,0.0
2025-10-20,no_hedge,2025-11-11,16,-10.514159130315583,-10.514159130315583,-10.504511216735512,12.012691488388711,0.0,0.0
2025-10-20,one_futures,2025-10-20,0,-39.289643495050214,-0.059247307899177315,-0.059247307899177315,-0.059247307899177315,0.2962365394958909,0.0
2025-10-20,one_futures,2025-10-21,1,-2.7438261563431654,31.04148904148556,31.03970802353746,31.09895533143664,0.258650306474753,0.0
2025-10-20,one_futures,2025-10-22,2,-8.902266107538633,21.629909364868638,21.627427386533167,-9.412280637004294,0.2466242068178146,0.0
2025-10-20,one_futures,2025-10-23,3,-6.047732533819349,19.75825139831943,19.75485068052596,-1.8725767060072087,0.2176420820517339,0.0
2025-10-20,one_futures,2025-10-24,4,20.154239434956462,43.7092090945965,43.69917862391873,23.944327943392775,0.2087035857981843,0.0
2025-10-20,one_futures,2025-10-27,5,26.43299588495324,59.569143394801216,59.55205633757975,15.852877713661016,0.3349449111550994,0.0
2025-10-20,one_futures,2025-10-28,6,29.972104933072224,55.59629390100513,55.57715748743055,-3.974898850149202,0.2708264064487418,0.0
2025-10-20,one_futures,2025-10-29,7,59.647539975137086,79.9533304173518,79.9212244620904,24.344066974659846,0.2265320814835774,0.0
2025-10-20,one_futures,2025-10-30,8,41.255361903003056,60.26133618722494,60.233681593465754,-19.68754286862464,0.2325098499210955,0.0
2025-10-20,one_futures,2025-10-31,9,41.52431766855093,63.23449320740245,63.20184775943564,2.9681661659698833,0.2946260159045558,0.0
2025-10-20,one_futures,2025-11-03,10,50.88955163556241,72.48888778226336,72.44730772731528,9.24545996787964,0.3259057655204193,0.0
2025-10-20,one_futures,2025-11-04,11,16.26571029363269,40.34960870178858,40.32415018036351,-32.12315754695177,0.4037508642065042,0.0
2025-10-20,one_futures,2025-11-05,12,26.994210220417784,51.22971845568985,51.194457675136164,10.870307494772653,0.4647826959186518,0.0
2025-10-20,one_futures,2025-11-06,13,71.60769997822024,92.22945591758628,92.16068746566042,40.96622979052425,0.4287929811659473,0.0
